firstname,surname,ssn,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
Melvin,Calvin,133-74-2205,US,US,male,1961,chemistry,1,University of California,Berkeley CA,USA,Apr,86,50
Max F.,Perutz,841-53-3497,AT,GB,male,1962,chemistry,2,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,May,88,48
John C.,Kendrew,237-89-3889,GB,GB,male,1962,chemistry,2,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Mar,80,45
Karl,Ziegler,390-15-3595,DE,DE,male,1963,chemistry,2,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Germany,Nov,75,65
Giulio,Natta,323-43-6133,IT,IT,male,1963,chemistry,2,Institute of Technology,Milan,Italy,Feb,76,60
Dorothy Crowfoot,Hodgkin,101-43-3445,EG,GB,female,1964,chemistry,1,University of Oxford Royal Society,Oxford,United Kingdom,May,84,54
Robert B.,Woodward,946-16-9925,US,US,male,1965,chemistry,1,Harvard University,Cambridge MA,USA,Apr,62,48
Robert S.,Mulliken,107-95-1494,US,US,male,1966,chemistry,1,University of Chicago,Chicago IL,USA,Jun,90,70
Manfred,Eigen,369-64-4692,DE,DE,male,1967,chemistry,2,Max-Planck-Institut für Physikalische Chemie,Göttingen,Germany,May,92,40
Ronald G.W.,Norrish,984-88-1028,GB,GB,male,1967,chemistry,4,Institute of Physical Chemistry,Cambridge,United Kingdom,Nov,81,70
George,Porter,532-10-5406,GB,GB,male,1967,chemistry,4,Royal Institution of Great Britain,London,United Kingdom,Dec,82,47
Lars,Onsager,576-65-3798,NO,US,male,1968,chemistry,1,Yale University,New Haven CT,USA,Nov,73,65
Derek,Barton,753-85-2809,GB,US,male,1969,chemistry,2,Imperial College,London,United Kingdom,Sep,80,51
Odd,Hassel,405-72-9335,NO,NO,male,1969,chemistry,2,University of Oslo,Oslo,Norway,May,84,72
Luis,Leloir,101-63-1946,FR,AR,male,1970,chemistry,1,Institute for Biochemical Research,Buenos Aires,Argentina,Sep,81,64
Gerhard,Herzberg,326-61-2845,DE,CA,male,1971,chemistry,1,National Research Council of Canada,Ottawa,Canada,Dec,95,67
Christian,Anfinsen,198-29-4478,US,US,male,1972,chemistry,2,National Institutes of Health,Bethesda MD,USA,Mar,79,56
Stanford,Moore,807-54-2930,US,US,male,1972,chemistry,4,Rockefeller University,New York NY,USA,Sep,69,59
William H.,Stein,798-63-1241,US,US,male,1972,chemistry,4,Rockefeller University,New York NY,USA,Jun,69,61
Ernst Otto,Fischer,172-15-2764,DE,DE,male,1973,chemistry,2,Technical University,Munich,Germany,Nov,89,55
Geoffrey,Wilkinson,928-56-6558,GB,GB,male,1973,chemistry,2,Imperial College,London,United Kingdom,Jul,75,52
Paul J.,Flory,518-48-9305,US,US,male,1974,chemistry,1,Stanford University,Stanford CA,USA,Jun,75,64
John,Cornforth,156-16-1781,AU,,male,1975,chemistry,2,University of Sussex,Brighton,United Kingdom,Sep,96,58
Vladimir,Prelog,363-69-8833,BA,CH,male,1975,chemistry,2,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Jul,92,69
William,Lipscomb,184-21-7960,US,US,male,1976,chemistry,1,Harvard University,Cambridge MA,USA,Dec,92,57
Ilya,Prigogine,760-28-7116,RU,BE,male,1977,chemistry,1,Université Libre de Bruxelles,Brussels,Belgium,Jan,86,60
Peter,Mitchell,641-37-2224,GB,GB,male,1978,chemistry,1,Glynn Research Laboratories,Bodmin,United Kingdom,Sep,72,58
Herbert C.,Brown,783-86-6552,GB,US,male,1979,chemistry,2,Purdue University,West Lafayette IN,USA,May,92,67
Georg,Wittig,185-25-4585,DE,DE,male,1979,chemistry,2,University of Heidelberg,Heidelberg,Germany,Jun,90,82
Paul,Berg,339-18-9149,US,,male,1980,chemistry,2,Stanford University,Stanford CA,USA,Jun,94,54
Walter,Gilbert,625-38-3436,US,,male,1980,chemistry,4,Harvard University Biological Laboratories,Cambridge MA,USA,Mar,88,48
Kenichi,Fukui,897-56-6055,JP,JP,male,1981,chemistry,2,Kyoto University,Kyoto,Japan,Oct,80,63
Roald,Hoffmann,259-23-6410,UA,,male,1981,chemistry,2,Cornell University,Ithaca NY,USA,Jul,83,44
Aaron,Klug,699-66-6431,LT,,male,1982,chemistry,1,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Aug,92,56
Henry,Taube,978-29-8340,CA,US,male,1983,chemistry,1,Stanford University,Stanford CA,USA,Nov,90,68
Bruce,Merrifield,561-50-2018,US,US,male,1984,chemistry,1,Rockefeller University,New York NY,USA,Jul,85,63
Herbert A.,Hauptman,104-11-8310,US,US,male,1985,chemistry,2,The Medical Foundation of Buffalo,Buffalo NY,USA,Feb,94,68
Jerome,Karle,317-74-4399,US,,male,1985,chemistry,2,US Naval Research Laboratory,Washington DC,USA,Jun,95,67
Dudley R.,Herschbach,765-67-2956,US,,male,1986,chemistry,3,Harvard University,Cambridge MA,USA,Jun,88,54
Yuan T.,Lee,517-93-4920,TW,,male,1986,chemistry,3,University of California,Berkeley CA,USA,Nov,84,50
John C.,Polanyi,437-17-6273,DE,,male,1986,chemistry,3,University of Toronto,Toronto,Canada,Jan,91,57
Donald J.,Cram,299-36-2570,US,US,male,1987,chemistry,3,University of California,Los Angeles CA,USA,Apr,82,68
Jean-Marie,Lehn,474-76-6785,FR,,male,1987,chemistry,3,Université Louis Pasteur,Strasbourg,France,Sep,81,48
Charles J.,Pedersen,206-39-5548,KR,US,male,1987,chemistry,3,Du Pont,Wilmington DE,USA,Oct,85,83
Johann,Deisenhofer,408-30-9564,DE,,male,1988,chemistry,3,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Sep,77,45
Robert,Huber,167-61-6411,DE,,male,1988,chemistry,3,Max-Planck-Institut für Biochemie,Martinsried,Germany,Feb,83,51
Hartmut,Michel,783-94-7896,DE,,male,1988,chemistry,3,Max-Planck-Institut für Biophysik,Frankfurt-on-the-Main,Germany,Jul,72,40
Sidney,Altman,578-92-7658,CA,,male,1989,chemistry,2,Yale University,New Haven CT,USA,May,81,50
Thomas R.,Cech,108-18-6558,US,,male,1989,chemistry,2,University of Colorado,Boulder CO,USA,Dec,73,42
Elias James,Corey,375-18-7608,US,,male,1990,chemistry,1,Harvard University,Cambridge MA,USA,Jul,92,62
Richard R.,Ernst,587-14-6118,CH,,male,1991,chemistry,1,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Aug,87,58
Rudolph A.,Marcus,670-25-8476,CA,,male,1992,chemistry,1,California Institute of Technology (Caltech),Pasadena CA,USA,Jul,97,69
Kary B.,Mullis,958-60-8807,US,US,male,1993,chemistry,2,,,,Dec,75,49
Michael,Smith,267-69-3106,GB,CA,male,1993,chemistry,2,University of British Columbia,Vancouver,Canada,Apr,68,61
George A.,Olah,670-66-9233,HU,US,male,1994,chemistry,1,University of Southern California,Los Angeles CA,USA,May,90,67
Paul J.,Crutzen,479-31-9896,NL,,male,1995,chemistry,3,Max-Planck-Institut für Chemie,Mainz,Germany,Dec,87,62
Mario J.,Molina,152-83-2263,MX,,male,1995,chemistry,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Mar,77,52
F. Sherwood,Rowland,302-82-9771,US,US,male,1995,chemistry,3,University of California,Irvine CA,USA,Jun,85,68
Robert F.,Curl Jr.,155-21-8041,US,,male,1996,chemistry,3,Rice University,Houston TX,USA,Aug,87,63
Sir Harold,Kroto,637-13-6982,GB,GB,male,1996,chemistry,3,University of Sussex,Brighton,United Kingdom,Oct,77,57
Richard E.,Smalley,493-20-4661,US,US,male,1996,chemistry,3,Rice University,Houston TX,USA,Jun,62,53
Paul D.,Boyer,668-31-5913,US,US,male,1997,chemistry,4,University of California,Los Angeles CA,USA,Jul,100,79
John E.,Walker,781-51-9235,GB,,male,1997,chemistry,4,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Jan,79,56
Jens C.,Skou,715-58-9076,DK,DK,male,1997,chemistry,2,Aarhus University,Aarhus,Denmark,Oct,100,79
Walter,Kohn,113-46-1887,AT,US,male,1998,chemistry,2,University of California,Santa Barbara CA,USA,Mar,93,75
John,Pople,628-88-1274,GB,US,male,1998,chemistry,2,Northwestern University,Evanston IL,USA,Oct,79,73
Ahmed,Zewail,322-53-7922,EG,US,male,1999,chemistry,1,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,70,53
Emil,von Behring,673-86-2424,PL,DE,male,1901,medicine,1,Marburg University,Marburg,Germany,Mar,63,47
Ronald,Ross,400-67-3805,IN,GB,male,1902,medicine,1,University College,Liverpool,United Kingdom,May,75,45
Niels Ryberg,Finsen,936-44-7737,DK,DK,male,1903,medicine,1,Finsen Medical Light Institute,Copenhagen,Denmark,Dec,44,43
Ivan,Pavlov,885-99-2048,RU,RU,male,1904,medicine,1,Military Medical Academy,St. Petersburg,Russia,Sep,87,55
Robert,Koch,432-26-2585,DE,DE,male,1905,medicine,1,Institute for Infectious Diseases,Berlin,Germany,Dec,67,62
Camillo,Golgi,549-15-7012,IT,IT,male,1906,medicine,2,Pavia University,Pavia,Italy,Jul,83,63
Santiago,Ramón y Cajal,888-91-2195,ES,ES,male,1906,medicine,2,Madrid University,Madrid,Spain,May,82,54
Alphonse,Laveran,385-60-9958,FR,FR,male,1907,medicine,1,Institut Pasteur,Paris,France,Jun,77,62
Ilya,Mechnikov,907-75-9749,UA,FR,male,1908,medicine,2,Institut Pasteur,Paris,France,May,71,63
Paul,Ehrlich,928-82-4987,PL,DE,male,1908,medicine,2,Goettingen University,Göttingen,Germany,Mar,61,54
Theodor,Kocher,673-49-2175,CH,CH,male,1909,medicine,1,Berne University,Bern,Switzerland,Aug,76,68
Albrecht,Kossel,140-14-9666,DE,DE,male,1910,medicine,1,University of Heidelberg,Heidelberg,Germany,Sep,74,57
Allvar,Gullstrand,997-96-4822,SE,SE,male,1911,medicine,1,Uppsala University,Uppsala,Sweden,Jun,68,49
Alexis,Carrel,570-65-3643,FR,FR,male,1912,medicine,1,Rockefeller Institute for Medical Research,New York NY,USA,Jun,71,39
Charles,Richet,528-43-6484,FR,FR,male,1913,medicine,1,Sorbonne University,Paris,France,Aug,85,63
Robert,Bárány,643-63-6937,AT,SE,male,1914,medicine,1,Vienna University,Vienna,Austria,Apr,60,38
Jules,Bordet,500-72-5223,BE,BE,male,1919,medicine,1,Brussels University,Brussels,Belgium,Jun,91,49
August,Krogh,366-36-7504,DK,DK,male,1920,medicine,1,Copenhagen University,Copenhagen,Denmark,Nov,75,46
Archibald V.,Hill,686-76-5039,GB,GB,male,1922,medicine,2,London University,London,United Kingdom,Sep,91,36
Otto,Meyerhof,984-12-6378,DE,US,male,1922,medicine,2,Kiel University,Kiel,Germany,Apr,67,38
Frederick G.,Banting,201-35-3007,CA,CA,male,1923,medicine,2,University of Toronto,Toronto,Canada,Nov,50,32
John,Macleod,394-87-1223,GB,GB,male,1923,medicine,2,University of Toronto,Toronto,Canada,Sep,59,47
Willem,Einthoven,200-63-7505,ID,NL,male,1924,medicine,1,Leiden University,Leiden,the Netherlands,May,67,64
Johannes,Fibiger,576-92-7215,DK,DK,male,1926,medicine,1,Copenhagen University,Copenhagen,Denmark,Apr,61,59
Julius,Wagner-Jauregg,283-61-1527,AT,AT,male,1927,medicine,1,Vienna University,Vienna,Austria,Mar,83,70
Charles,Nicolle,982-84-4815,FR,TN,male,1928,medicine,1,Institut Pasteur,Tunis,Tunisia,Sep,70,62
Christiaan,Eijkman,451-81-7288,NL,NL,male,1929,medicine,2,Utrecht University,Utrecht,the Netherlands,Aug,72,71
Sir Frederick,Hopkins,579-70-8771,GB,GB,male,1929,medicine,2,University of Cambridge,Cambridge,United Kingdom,Jun,86,68
Karl,Landsteiner,791-79-1129,AT,US,male,1930,medicine,1,Rockefeller Institute for Medical Research,New York NY,USA,Jun,75,62
Otto,Warburg,544-93-7441,DE,DE,male,1931,medicine,1,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biologie,Berlin-Dahlem,Germany,Oct,87,48
Sir Charles,Sherrington,599-45-5500,GB,GB,male,1932,medicine,2,University of Oxford,Oxford,United Kingdom,Nov,95,75
Edgar,Adrian,414-42-9607,GB,GB,male,1932,medicine,2,University of Cambridge,Cambridge,United Kingdom,Nov,88,43
Thomas H.,Morgan,282-44-6209,US,US,male,1933,medicine,1,California Institute of Technology (Caltech),Pasadena CA,USA,Sep,79,67
George H.,Whipple,114-28-7865,US,US,male,1934,medicine,3,University of Rochester,Rochester NY,USA,Aug,98,56
George R.,Minot,516-23-2603,US,US,male,1934,medicine,3,Harvard University,Cambridge MA,USA,Dec,65,49
William P.,Murphy,365-59-7225,US,US,male,1934,medicine,3,Harvard University,Cambridge MA,USA,Feb,95,42
Hans,Spemann,227-91-9358,DE,DE,male,1935,medicine,1,University of Freiburg im Breisgau,Breisgau,Germany,Jun,72,66
Sir Henry,Dale,799-62-9865,GB,GB,male,1936,medicine,2,National Institute for Medical Research,London,United Kingdom,Jun,93,61
Otto,Loewi,687-84-9183,DE,US,male,1936,medicine,2,Graz University,Graz,Austria,Jun,88,63
Albert,Szent-Györgyi,948-22-2941,HU,US,male,1937,medicine,1,Szeged University,Szeged,Hungary,Sep,93,44
Corneille,Heymans,677-64-9746,BE,BE,male,1938,medicine,1,Ghent University,Ghent,Belgium,Mar,76,46
Gerhard,Domagk,481-50-6228,PL,DE,male,1939,medicine,1,Munster University,Munster,Germany,Oct,69,44
Henrik,Dam,775-77-5562,DK,DK,male,1943,medicine,2,Polytechnic Institute,Copenhagen,Denmark,Feb,81,48
Edward A.,Doisy,197-93-1284,US,US,male,1943,medicine,2,Saint Louis University,St. Louis MO,USA,Nov,93,50
Joseph,Erlanger,810-60-1280,US,US,male,1944,medicine,2,Washington University,St. Louis MO,USA,Jan,91,70
Herbert S.,Gasser,786-67-5958,US,US,male,1944,medicine,2,Rockefeller Institute for Medical Research,New York NY,USA,Jul,75,56
Sir Alexander,Fleming,436-79-2164,GB,GB,male,1945,medicine,3,London University,London,United Kingdom,Aug,74,64
Ernst B.,Chain,704-55-2969,DE,IE,male,1945,medicine,3,University of Oxford,Oxford,United Kingdom,Jun,73,39
Sir Howard,Florey,524-82-2346,AU,GB,male,1945,medicine,3,University of Oxford,Oxford,United Kingdom,Sep,70,47
Hermann J.,Muller,324-22-5904,US,US,male,1946,medicine,1,Indiana University,Bloomington IN,USA,Dec,77,56
Carl,Cori,562-47-2994,CZ,US,male,1947,medicine,4,Washington University,St. Louis MO,USA,Dec,88,51
Gerty,Cori,676-99-9240,CZ,US,female,1947,medicine,4,Washington University,St. Louis MO,USA,Aug,61,51
Bernardo,Houssay,625-20-9870,AR,AR,male,1947,medicine,2,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,Apr,84,60
Paul,Müller,110-97-8700,CH,CH,male,1948,medicine,1,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,Switzerland,Jan,66,49
Walter,Hess,706-81-9687,CH,CH,male,1949,medicine,2,University of Zurich,Zurich,Switzerland,Mar,92,68
Egas,Moniz,926-53-9419,PT,PT,male,1949,medicine,2,University of Lisbon,Lisbon,Portugal,Nov,81,75
Edward C.,Kendall,565-88-2371,US,US,male,1950,medicine,3,Mayo Clinic,Rochester MN,USA,Mar,86,64
Tadeus,Reichstein,612-51-2390,PL,CH,male,1950,medicine,3,Basel University,Basel,Switzerland,Jul,99,53
Philip S.,Hench,371-11-9542,US,JM,male,1950,medicine,3,Mayo Clinic,Rochester MN,USA,Feb,69,54
Max,Theiler,578-34-1268,ZA,US,male,1951,medicine,1,Laboratories of the Division of Medicine and Public Health Rockefeller Foundation,New York NY,USA,Jan,73,52
Selman A.,Waksman,925-67-3251,UA,US,male,1952,medicine,1,Rutgers University,New Brunswick NJ,USA,Jul,85,64
Hans,Krebs,684-62-3490,DE,GB,male,1953,medicine,2,Sheffield University,Sheffield,United Kingdom,Aug,81,53
Fritz,Lipmann,643-49-3370,RU,US,male,1953,medicine,2,Harvard Medical School,Boston MA,USA,Jun,87,54
John F.,Enders,405-56-6630,US,US,male,1954,medicine,3,Harvard Medical School,Boston MA,USA,Feb,88,57
Thomas H.,Weller,544-15-3440,US,US,male,1954,medicine,3,Research Division of Infectious Diseases Children's Medical Center,Boston MA,USA,Jun,93,39
Frederick C.,Robbins,938-57-3495,US,US,male,1954,medicine,3,Western Reserve University,Cleveland OH,USA,Aug,87,38
Hugo,Theorell,721-67-1593,SE,SE,male,1955,medicine,1,Karolinska Institutet Nobel Medical Institute,Stockholm,Sweden,Jul,79,52
André F.,Cournand,873-73-6848,FR,US,male,1956,medicine,3,Columbia University Division Cardio-Pulmonary Laboratory Bellevue Hospital,New York NY,USA,Sep,93,61
Werner,Forssmann,496-22-9358,DE,DE,male,1956,medicine,3,Mainz University,Mainz,Germany,Aug,75,52
Dickinson W.,Richards,577-30-5151,US,US,male,1956,medicine,3,Columbia University,New York NY,USA,Oct,78,61
Daniel,Bovet,858-91-4046,CH,IT,male,1957,medicine,1,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,Mar,85,50
George,Beadle,165-63-4194,US,US,male,1958,medicine,4,California Institute of Technology (Caltech),Pasadena CA,USA,Oct,86,55
Edward,Tatum,723-24-6523,US,US,male,1958,medicine,4,Rockefeller Institute for Medical Research,New York NY,USA,Dec,66,49
Joshua,Lederberg,815-47-2360,US,US,male,1958,medicine,2,University of Wisconsin,Madison WI,USA,May,83,33
Severo,Ochoa,876-45-1167,ES,ES,male,1959,medicine,2,New York University College of Medicine,New York NY,USA,Sep,88,54
Arthur,Kornberg,186-69-9412,US,US,male,1959,medicine,2,Stanford University,Stanford CA,USA,Mar,89,41
Sir Frank Macfarlane,Burnet,930-57-5029,AU,AU,male,1960,medicine,2,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,Sep,86,61
Peter,Medawar,624-55-6482,BR,GB,male,1960,medicine,2,University College,London,United Kingdom,Feb,72,45
Georg,von Békésy,390-84-1351,HU,US,male,1961,medicine,1,Harvard University,Cambridge MA,USA,Jun,73,62
Francis,Crick,681-69-3843,GB,US,male,1962,medicine,3,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Jun,88,46
James,Watson,461-73-7419,US,,male,1962,medicine,3,Harvard University,Cambridge MA,USA,Apr,92,34
Maurice,Wilkins,231-25-3946,NZ,GB,male,1962,medicine,3,London University,London,United Kingdom,Dec,88,46
Sir John,Eccles,426-15-6470,AU,CH,male,1963,medicine,3,Australian National University,Canberra,Australia,Jan,94,60
Alan,Hodgkin,138-82-5510,GB,GB,male,1963,medicine,3,University of Cambridge,Cambridge,United Kingdom,Feb,84,49
Andrew,Huxley,185-39-2867,GB,GB,male,1963,medicine,3,University College,London,United Kingdom,Nov,95,46
Konrad,Bloch,645-74-5423,PL,US,male,1964,medicine,2,Harvard University,Cambridge MA,USA,Jan,88,52
Feodor,Lynen,559-31-2874,DE,DE,male,1964,medicine,2,Max-Planck-Institut für Zellchemie,Munich,Germany,Apr,68,53
François,Jacob,318-73-1649,FR,FR,male,1965,medicine,3,Institut Pasteur,Paris,France,Jun,93,45
André,Lwoff,632-46-1223,FR,FR,male,1965,medicine,3,Institut Pasteur,Paris,France,May,92,63
Jacques,Monod,663-91-9455,FR,FR,male,1965,medicine,3,Institut Pasteur,Paris,France,Feb,66,55
Peyton,Rous,406-67-1469,US,US,male,1966,medicine,2,Rockefeller University,New York NY,USA,Oct,91,87
Charles B.,Huggins,901-55-6334,CA,US,male,1966,medicine,2,University of Chicago Ben May Laboratory for Cancer Research,Chicago IL,USA,Sep,96,65
Ragnar,Granit,816-26-4687,FI,SE,male,1967,medicine,3,Karolinska Institutet,Stockholm,Sweden,Oct,91,67
Keffer,Hartline,812-76-7630,US,US,male,1967,medicine,3,Rockefeller University,New York NY,USA,Dec,80,64
George,Wald,722-92-6953,US,US,male,1967,medicine,3,Harvard University,Cambridge MA,USA,Nov,91,61
Robert W.,Holley,775-28-9929,US,US,male,1968,medicine,3,Cornell University,Ithaca NY,USA,Jan,71,46
H. Gobind,Khorana,703-12-8614,IN,US,male,1968,medicine,3,University of Wisconsin,Madison WI,USA,Jan,89,46
Marshall W.,Nirenberg,792-92-7203,US,US,male,1968,medicine,3,National Institutes of Health,Bethesda MD,USA,Apr,83,41
Max,Delbrück,343-38-1136,DE,US,male,1969,medicine,3,California Institute of Technology (Caltech),Pasadena CA,USA,Sep,75,63
Alfred D.,Hershey,438-76-7971,US,US,male,1969,medicine,3,Carnegie Institution of Washington,Long Island New York NY,USA,Dec,89,61
Salvador E.,Luria,725-13-9419,IT,US,male,1969,medicine,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Aug,79,57
Sir Bernard,Katz,680-88-4217,DE,GB,male,1970,medicine,3,University College,London,United Kingdom,Mar,92,59
Ulf,von Euler,558-74-1661,SE,SE,male,1970,medicine,3,Karolinska Institutet,Stockholm,Sweden,Feb,78,65
Julius,Axelrod,516-41-2463,US,US,male,1970,medicine,3,National Institutes of Health,Bethesda MD,USA,May,92,58
Earl W.,Sutherland Jr.,530-89-8232,US,US,male,1971,medicine,1,Vanderbilt University,Nashville TN,USA,Nov,59,56
Gerald M.,Edelman,582-44-4401,US,US,male,1972,medicine,2,Rockefeller University,New York NY,USA,Jul,85,43
Rodney R.,Porter,129-15-8211,GB,GB,male,1972,medicine,2,University of Oxford,Oxford,United Kingdom,Oct,68,55
Karl,von Frisch,210-31-2368,AT,DE,male,1973,medicine,3,Zoologisches Institut der Universität München,Munich,Germany,Nov,96,87
Konrad,Lorenz,375-12-5244,AT,AT,male,1973,medicine,3,Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften Forschungsstelle für Ethologie,Altenberg; Grünau im Almtal,Austria,Nov,86,70
Nikolaas,Tinbergen,341-38-6604,NL,GB,male,1973,medicine,3,University of Oxford,Oxford,United Kingdom,Apr,81,66
Albert,Claude,365-43-1591,BE,BE,male,1974,medicine,3,Université Catholique de Louvain,Louvain,Belgium,Aug,85,76
Christian,de Duve,431-72-4261,GB,BE,male,1974,medicine,3,Rockefeller University,New York NY,USA,Oct,96,57
George E.,Palade,573-46-1681,RO,US,male,1974,medicine,3,Yale University School of Medicine,New Haven CT,USA,Nov,96,62
David,Baltimore,238-11-9723,US,,male,1975,medicine,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Mar,82,37
Renato,Dulbecco,981-56-2249,IT,US,male,1975,medicine,3,Imperial Cancer Research Fund Laboratory,London,United Kingdom,Feb,98,61
Howard M.,Temin,269-53-7811,US,US,male,1975,medicine,3,University of Wisconsin,Madison WI,USA,Dec,60,41
Baruch S.,Blumberg,217-81-8154,US,US,male,1976,medicine,2,The Institute for Cancer Research,Philadelphia PA,USA,Jul,86,51
D. Carleton,Gajdusek,811-12-9889,US,NO,male,1976,medicine,2,National Institutes of Health,Bethesda MD,USA,Sep,85,53
Roger,Guillemin,279-22-1581,FR,,male,1977,medicine,4,The Salk Institute,San Diego CA,USA,Jan,96,53
Andrew V.,Schally,265-30-1427,LT,,male,1977,medicine,4,Veterans Administration Hospital,New Orleans LA,USA,Nov,94,51
Rosalyn,Yalow,728-66-2149,US,US,female,1977,medicine,2,Veterans Administration Hospital,Bronx NY,USA,Jul,90,56
Werner,Arber,528-30-2258,CH,,male,1978,medicine,3,Biozentrum der Universität,Basel,Switzerland,Jun,91,49
Daniel,Nathans,783-26-3716,US,US,male,1978,medicine,3,Johns Hopkins University School of Medicine,Baltimore MD,USA,Oct,71,50
Hamilton O.,Smith,635-49-4190,US,,male,1978,medicine,3,Johns Hopkins University School of Medicine,Baltimore MD,USA,Aug,89,47
Allan M.,Cormack,505-70-6198,ZA,US,male,1979,medicine,2,Tufts University,Medford MA,USA,Feb,74,55
Godfrey N.,Hounsfield,471-34-4300,GB,GB,male,1979,medicine,2,Central Research Laboratories EMI,London,United Kingdom,Aug,85,60
Baruj,Benacerraf,396-10-1380,VE,US,male,1980,medicine,3,Harvard Medical School,Boston MA,USA,Oct,91,60
Jean,Dausset,924-44-3845,FR,ES,male,1980,medicine,3,Université de Paris Laboratoire Immuno-Hématologie,Paris,France,Oct,93,64
George D.,Snell,107-28-3817,US,US,male,1980,medicine,3,Jackson Laboratory,Bar Harbor ME,USA,Dec,93,77
Roger W.,Sperry,117-46-6279,US,US,male,1981,medicine,2,California Institute of Technology (Caltech),Pasadena CA,USA,Aug,81,68
David H.,Hubel,833-69-6215,CA,US,male,1981,medicine,4,Harvard Medical School,Boston MA,USA,Feb,87,55
Torsten N.,Wiesel,771-32-4033,SE,,male,1981,medicine,4,Harvard Medical School,Boston MA,USA,Jun,96,57
Sune K.,Bergström,580-58-4296,SE,SE,male,1982,medicine,3,Karolinska Institutet,Stockholm,Sweden,Jan,88,66
Bengt I.,Samuelsson,112-79-8839,SE,,male,1982,medicine,3,Karolinska Institutet,Stockholm,Sweden,May,86,48
John R.,Vane,500-81-7138,GB,GB,male,1982,medicine,3,The Wellcome Research Laboratories,Beckenham,United Kingdom,Mar,77,55
Barbara,McClintock,465-95-2396,US,US,female,1983,medicine,1,Cold Spring Harbor Laboratory,Cold Spring Harbor NY,USA,Jun,90,81
Niels K.,Jerne,386-33-4181,GB,FR,male,1984,medicine,3,Basel Institute for Immunology,Basel,Switzerland,Dec,83,73
Georges J.F.,Köhler,258-42-8594,DE,DE,male,1984,medicine,3,Basel Institute for Immunology,Basel,Switzerland,Apr,49,38
César,Milstein,949-75-6919,AR,GB,male,1984,medicine,3,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Oct,75,57
Michael S.,Brown,284-73-3486,US,,male,1985,medicine,2,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Apr,79,44
Joseph L.,Goldstein,791-55-8805,US,,male,1985,medicine,2,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Apr,80,45
Stanley,Cohen,725-24-7504,US,US,male,1986,medicine,2,Vanderbilt University School of Medicine,Nashville TN,USA,Nov,98,64
Rita,Levi-Montalcini,291-62-5553,IT,IT,female,1986,medicine,2,Institute of Cell Biology of the C.N.R.,Rome,Italy,Apr,103,77
Susumu,Tonegawa,920-73-8633,JP,,male,1987,medicine,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Sep,81,48
Sir James W.,Black,713-28-2738,GB,,male,1988,medicine,3,London University King's College Hospital Medical School,London,United Kingdom,Jun,86,64
Gertrude B.,Elion,985-36-2013,US,US,female,1988,medicine,3,Wellcome Research Laboratories,Research Triangle Park NC,USA,Jan,81,70
George H.,Hitchings,259-50-1738,US,US,male,1988,medicine,3,Wellcome Research Laboratories,Research Triangle Park NC,USA,Apr,93,83
J. Michael,Bishop,425-88-6255,US,,male,1989,medicine,2,University of California School of Medicine,San Francisco CA,USA,Feb,84,53
Harold E.,Varmus,917-67-1960,US,,male,1989,medicine,2,University of California School of Medicine,San Francisco CA,USA,Dec,81,50
Joseph E.,Murray,415-95-3641,US,US,male,1990,medicine,2,Brigham and Women's Hospital,Boston MA,USA,Apr,93,71
E. Donnall,Thomas,972-33-7342,US,US,male,1990,medicine,2,Fred Hutchinson Cancer Research Center,Seattle WA,USA,Mar,92,70
Erwin,Neher,834-70-1349,DE,,male,1991,medicine,2,Max-Planck-Institut für Biophysikalische Chemie,Göttingen,Germany,Mar,76,47
Bert,Sakmann,242-73-5612,DE,,male,1991,medicine,2,Max-Planck-Institut für medizinische Forschung,Heidelberg,Germany,Jun,78,49
Edmond H.,Fischer,265-63-2594,CN,,male,1992,medicine,2,University of Washington,Seattle WA,USA,Apr,100,72
